yyyymm,equity_premium,b/m,tbl,ntis,infl,ltr,svar,dp,dy,ep,tms,dfy,dfr
195902,0.028896991,0.494946148,0.027,0.027845409,-0.0011527,0.0117,0.000841962,-3.447556016,-3.447736473,-2.903998563,0.0132,0.0075,0.0144
195903,0.029635292,0.516860282,0.028,0.024940484,0,0.0017,0.000490179,-3.444321808,-3.443780536,-2.880678629,0.0123,0.0072,0.0133
195904,0.06597327,0.498597194,0.0295,0.024309163,0.0011527,-0.0117,0.000490123,-3.478608116,-3.440560529,-2.888115926,0.0119,0.0063,0.0128
195905,0.046321457,0.48307678,0.0284,0.0258354,0.0011514,-0.0005,0.000428374,-3.49361655,-3.474866538,-2.877167903,0.0133,0.0059,0.0153
195906,0.02389458,0.483219391,0.0321,0.026842185,0.0045924,0.001,0.000913786,-3.486298182,-3.489883333,-2.844738371,0.0098,0.0058,0.0125
195907,0.060888014,0.460822665,0.032,0.027094796,0.0022883,0.006,0.000486167,-3.516873689,-3.482578851,-2.876096349,0.0097,0.0061,0.0127
195908,0.011838761,0.468084466,0.0338,0.028109645,-0.0011435,-0.0041,0.001067834,-3.498020618,-3.513173685,-2.858015023,0.0085,0.0066,0.0105
195909,-0.018752886,0.492337893,0.0404,0.030472045,0.0034266,-0.0057,0.001706743,-3.44761694,-3.494328729,-2.808383524,0.0025,0.0066,0.0048
195910,0.038908711,0.48097742,0.0405,0.03096579,0.0034149,0.015,0.000616029,-3.455127559,-3.443938631,-2.823466321,0.0016,0.0071,0.0052
195911,0.040474201,0.471798295,0.0415,0.029685358,0,-0.0119,0.000499243,-3.464594482,-3.451468214,-2.840504617,0.0017,0.007,0.0041
195912,0.05360738,0.457783797,0.0449,0.022820226,0,-0.0159,0.000306251,-3.488193579,-3.460943014,-2.871679625,-0.0002,0.007,0.0009
196001,-0.04475542,0.499502104,0.0435,0.022083743,-0.001137,0.0112,0.000918211,-3.394206946,-3.468353451,-2.79753312,0.0006,0.0073,0.0026
196002,0.03918213,0.493556783,0.0396,0.02400731,0.001137,0.0204,0.001152586,-3.383887272,-3.374758058,-2.806662334,0.0033,0.0078,0.006
196003,0.017700934,0.549798083,0.0331,0.025561153,0,0.0282,0.000968553,-3.350808001,-3.364804282,-2.792666053,0.008,0.0076,0.0118
196004,0.014743633,0.56340369,0.0323,0.025546444,0.0056657,-0.017,0.000643656,-3.331409535,-3.349092978,-2.78784671,0.0103,0.0075,0.0122
196005,0.058030863,0.541966427,0.0329,0.024388061,0,0.0152,0.000423629,-3.356191139,-3.329692311,-2.827380309,0.0088,0.0082,0.0117
196006,0.050970264,0.529174862,0.0246,0.024238669,0.0022573,0.0173,0.000495237,-3.373817401,-3.354481987,-2.859919578,0.0161,0.0081,0.0199
196007,0.007525614,0.549673277,0.023,0.025744526,0,0.0368,0.000977845,-3.348733812,-3.373817401,-2.833815038,0.0152,0.0081,0.0211
196008,0.057531004,0.541542197,0.023,0.025161928,0,-0.0067,0.000637503,-3.374519895,-3.348733812,-2.85857815,0.016,0.008,0.0198
196009,-0.0285736,0.584341711,0.0248,0.028274095,0.0011268,0.0075,0.001777138,-3.312226043,-3.374519895,-2.795265431,0.0139,0.0076,0.0177
196010,0.031523892,0.584120201,0.023,0.027788299,0.0044944,-0.0028,0.001043181,-3.30979409,-3.312226043,-2.792833478,0.0161,0.0081,0.02
196011,0.072012557,0.567630019,0.0237,0.026004812,0.0011204,-0.0066,0.000662765,-3.349274109,-3.30979409,-2.832313497,0.0162,0.0077,0.0194
196012,0.076365581,0.550422965,0.0225,0.022678545,0,0.0279,0.000448713,-3.394508394,-3.349274109,-2.877547781,0.0155,0.0075,0.021
196101,0.090398724,0.522986733,0.0224,0.021738937,0,-0.0107,0.000736858,-3.457459467,-3.396217546,-2.95730875,0.018,0.0078,0.0208
196102,0.054670979,0.512022716,0.0242,0.019347884,0,0.02,0.000546256,-3.485691581,-3.459176691,-3.002692124,0.015,0.008,0.0185
196103,0.052606375,0.546679869,0.0239,0.022665441,0,-0.0037,0.000414936,-3.512621948,-3.487406604,-3.04713883,0.0158,0.008,0.0183
196104,0.031198764,0.545004494,0.0229,0.023186277,0,0.0115,0.001007711,-3.516457191,-3.512621948,-3.057467602,0.0162,0.0076,0.0196
196105,0.045780248,0.530916294,0.0229,0.022396666,0,-0.0046,0.000403155,-3.535415823,-3.516457191,-3.082962206,0.0168,0.0074,0.0198
196106,-0.001641231,0.540821101,0.0233,0.022412365,0.0011192,-0.0075,0.00054869,-3.506145441,-3.535415823,-3.060270795,0.0171,0.007,0.02
196107,0.059146202,0.524405631,0.0224,0.025110653,0.0044643,0.0035,0.000627514,-3.534983878,-3.502713194,-3.090342578,0.018,0.0068,0.0217
196108,0.045732707,0.513792816,0.0239,0.025356081,-0.0011142,-0.0038,0.000406142,-3.551000979,-3.53156849,-3.107584277,0.0171,0.0066,0.0206
196109,0.007167041,0.527516721,0.0228,0.024892236,0.0022272,0.0129,0.000821277,-3.527710154,-3.547592114,-3.085513036,0.0175,0.0067,0.0217
196110,0.054458851,0.525485851,0.023,0.025762011,0,0.0071,0.000267727,-3.545487193,-3.517557782,-3.098256697,0.017,0.0071,0.0212
196111,0.064182719,0.512610865,0.0248,0.025499798,0,-0.002,0.000360732,-3.574029612,-3.535436857,-3.121894045,0.0156,0.0072,0.0191
196112,0.028893874,0.505922258,0.026,0.022303221,0,-0.0125,0.000337898,-3.567298995,-3.564079282,-3.110375589,0.0155,0.0068,0.0182
196201,-0.011862948,0.528428571,0.0272,0.024698824,0,-0.0014,0.000812264,-3.525390919,-3.564002454,-3.053129975,0.0147,0.0066,0.017
196202,0.042513504,0.522420733,0.0273,0.02875824,0.0022222,0.0103,0.000264993,-3.538248807,-3.522110128,-3.050975461,0.0141,0.0065,0.0169
196203,0.020765083,0.545724592,0.0272,0.024053381,0.0022173,0.0253,0.000280134,-3.529096111,-3.534973842,-3.027133174,0.0126,0.0065,0.0167
196204,-0.03535877,0.579862625,0.0273,0.02512958,0.0022124,0.0082,0.001019941,-3.461858696,-3.525831836,-2.953318414,0.0121,0.0069,0.016
196205,-0.058300728,0.628994392,0.0269,0.02769848,0,0.0046,0.010899698,-3.368695938,-3.458609912,-2.853655824,0.0124,0.0072,0.0159
196206,-0.050721437,0.687357469,0.0273,0.026432344,0,-0.0076,0.006160406,-3.280071386,-3.36545282,-2.758622775,0.0128,0.0074,0.0155
196207,0.094066176,0.64522603,0.0292,0.029690328,0.0022075,-0.0109,0.001843574,-3.33846207,-3.276838752,-2.81449895,0.012,0.0071,0.0142
196208,0.047287511,0.633310352,0.0282,0.028547885,0,0.0187,0.000801947,-3.350413266,-3.335244675,-2.823953239,0.0119,0.0071,0.0153
196209,-0.015426585,0.666344261,0.0278,0.029778356,0.0054975,0.0061,0.001176997,-3.29779364,-3.347201383,-2.768863662,0.012,0.0071,0.0154
196210,0.03857426,0.654153314,0.0274,0.027273382,-0.0010971,0.0084,0.003452185,-3.294244186,-3.289811162,-2.760162358,0.0121,0.0071,0.0154
196211,0.127746526,0.594178346,0.0283,0.024067934,0,0.0021,0.00127482,-3.383054263,-3.286329655,-2.843925673,0.0113,0.0071,0.0142
196212,0.044208654,0.591627051,0.0287,0.019237912,-0.0010983,0.0035,0.000543886,-3.38859879,-3.375197185,-2.844529107,0.0108,0.0068,0.0137
